age,gender,category,size,subscription_status,discount_applied
36,Male,Clothing,M,Yes,Yes
52,Male,Outerwear,S,Yes,Yes
53,Male,Accessories,M,Yes,Yes
24,Male,Clothing,L,Yes,Yes
52,Male,Footwear,M,Yes,Yes
33,Male,Clothing,M,Yes,Yes
47,Male,Outerwear,XL,Yes,Yes
25,Male,Accessories,L,Yes,Yes
44,Male,Accessories,S,Yes,Yes
61,Male,Outerwear,M,Yes,Yes
37,Male,Clothing,M,Yes,Yes
58,Male,Clothing,S,Yes,Yes
37,Male,Footwear,L,Yes,Yes
32,Male,Accessories,S,Yes,Yes
21,Male,Footwear,M,Yes,Yes
20,Male,Clothing,XL,Yes,Yes
26,Male,Clothing,XL,Yes,Yes
62,Male,Accessories,M,Yes,Yes
27,Male,Outerwear,XL,Yes,Yes
51,Male,Clothing,L,Yes,Yes
54,Male,Footwear,L,Yes,Yes
55,Male,Accessories,L,Yes,Yes
69,Male,Accessories,M,Yes,Yes
64,Male,Outerwear,L,Yes,Yes
28,Male,Footwear,L,Yes,Yes
70,Male,Clothing,L,Yes,Yes
58,Male,Clothing,M,Yes,Yes
56,Male,Accessories,M,Yes,Yes
26,Male,Accessories,L,Yes,Yes
37,Male,Accessories,M,Yes,Yes
44,Male,Accessories,L,Yes,Yes
70,Male,Outerwear,S,Yes,Yes
53,Male,Clothing,M,Yes,Yes
55,Male,Footwear,S,Yes,Yes
50,Male,Footwear,L,Yes,Yes
50,Male,Clothing,L,Yes,Yes
38,Male,Outerwear,M,Yes,Yes
64,Male,Accessories,L,Yes,Yes
19,Male,Clothing,M,Yes,Yes
40,Male,Accessories,L,Yes,Yes
57,Male,Clothing,L,Yes,Yes
44,Male,Clothing,M,Yes,Yes
49,Male,Clothing,M,Yes,Yes
43,Male,Clothing,L,Yes,Yes
24,Male,Clothing,M,Yes,Yes
20,Male,Accessories,M,Yes,Yes
24,Male,Clothing,XL,Yes,Yes
44,Male,Accessories,L,Yes,Yes
28,Male,Clothing,L,Yes,Yes
30,Male,Accessories,M,Yes,Yes
52,Male,Clothing,M,Yes,Yes
43,Male,Accessories,L,Yes,Yes
43,Male,Footwear,M,Yes,Yes
39,Male,Clothing,M,Yes,Yes
68,Male,Footwear,M,Yes,Yes
68,Male,Clothing,M,Yes,Yes
49,Male,Outerwear,M,Yes,Yes
63,Male,Clothing,L,Yes,Yes
56,Male,Accessories,M,Yes,Yes
37,Male,Outerwear,L,Yes,Yes
30,Male,Outerwear,M,Yes,Yes
19,Male,Footwear,M,Yes,Yes
24,Male,Accessories,M,Yes,Yes
52,Male,Clothing,S,Yes,Yes
63,Male,Footwear,M,Yes,Yes
37,Male,Accessories,M,Yes,Yes
38,Male,Clothing,M,Yes,Yes
35,Male,Footwear,L,Yes,Yes
28,Male,Accessories,L,Yes,Yes
30,Male,Clothing,S,Yes,Yes
69,Male,Clothing,M,Yes,Yes
41,Male,Clothing,M,Yes,Yes
63,Male,Clothing,S,Yes,Yes
35,Male,Clothing,M,Yes,Yes
36,Male,Accessories,S,Yes,Yes
25,Male,Clothing,XL,Yes,Yes
58,Male,Accessories,M,Yes,Yes
27,Male,Accessories,M,Yes,Yes
65,Male,Accessories,M,Yes,Yes
54,Male,Accessories,M,Yes,Yes
54,Male,Clothing,M,Yes,Yes
59,Male,Accessories,S,Yes,Yes
42,Male,Accessories,S,Yes,Yes
46,Male,Footwear,XL,Yes,Yes
33,Male,Accessories,M,Yes,Yes
34,Male,Footwear,M,Yes,Yes
27,Male,Outerwear,S,Yes,Yes
52,Male,Clothing,M,Yes,Yes
29,Male,Clothing,M,Yes,Yes
54,Male,Accessories,M,Yes,Yes
25,Male,Accessories,M,Yes,Yes
41,Male,Footwear,L,Yes,Yes
53,Male,Outerwear,L,Yes,Yes
53,Male,Accessories,L,Yes,Yes
21,Male,Clothing,L,Yes,Yes
61,Male,Clothing,L,Yes,Yes
64,Male,Footwear,M,Yes,Yes
51,Male,Footwear,L,Yes,Yes
32,Male,Clothing,M,Yes,Yes
38,Male,Accessories,XL,Yes,Yes
58,Male,Clothing,XL,Yes,Yes
32,Male,Footwear,L,Yes,Yes
46,Male,Clothing,XL,Yes,Yes
39,Male,Accessories,S,Yes,Yes
19,Male,Footwear,S,Yes,Yes
50,Male,Clothing,M,Yes,Yes
36,Male,Clothing,M,Yes,Yes
65,Male,Outerwear,XL,Yes,Yes
64,Male,Accessories,M,Yes,Yes
46,Male,Footwear,L,Yes,Yes
36,Male,Accessories,S,Yes,Yes
51,Male,Accessories,M,Yes,Yes
51,Male,Outerwear,M,Yes,Yes
38,Male,Footwear,M,Yes,Yes
59,Male,Accessories,M,Yes,Yes
57,Male,Accessories,M,Yes,Yes
54,Male,Accessories,XL,Yes,Yes
25,Male,Clothing,S,Yes,Yes
69,Male,Clothing,S,Yes,Yes
57,Male,Accessories,L,Yes,Yes
70,Male,Accessories,S,Yes,Yes
24,Male,Footwear,M,Yes,Yes
67,Male,Clothing,M,Yes,Yes
24,Male,Clothing,L,Yes,Yes
62,Male,Accessories,M,Yes,Yes
57,Male,Clothing,M,Yes,Yes
55,Male,Footwear,S,Yes,Yes
45,Male,Outerwear,L,Yes,Yes
69,Male,Clothing,L,Yes,Yes
67,Male,Accessories,L,Yes,Yes
30,Male,Accessories,L,Yes,Yes
24,Male,Outerwear,L,Yes,Yes
62,Male,Accessories,S,Yes,Yes
43,Male,Clothing,L,Yes,Yes
35,Male,Accessories,M,Yes,Yes
28,Male,Clothing,S,Yes,Yes
32,Male,Accessories,M,Yes,Yes
39,Male,Footwear,S,Yes,Yes
28,Male,Accessories,XL,Yes,Yes
47,Male,Accessories,XL,Yes,Yes
20,Male,Clothing,M,Yes,Yes
63,Male,Clothing,S,Yes,Yes
25,Male,Outerwear,M,Yes,Yes
29,Male,Footwear,L,Yes,Yes
50,Male,Clothing,M,Yes,Yes
18,Male,Clothing,M,Yes,Yes
70,Male,Footwear,S,Yes,Yes
66,Male,Accessories,L,Yes,Yes
28,Male,Clothing,M,Yes,Yes
54,Male,Accessories,L,Yes,Yes
19,Male,Clothing,XL,Yes,Yes
20,Male,Accessories,S,Yes,Yes
43,Male,Accessories,M,Yes,Yes
38,Male,Outerwear,L,Yes,Yes
50,Male,Clothing,M,Yes,Yes
64,Male,Clothing,M,Yes,Yes
49,Male,Clothing,L,Yes,Yes
47,Male,Clothing,XL,Yes,Yes
36,Male,Clothing,M,Yes,Yes
55,Male,Outerwear,L,Yes,Yes
25,Male,Accessories,M,Yes,Yes
53,Male,Accessories,S,Yes,Yes
49,Male,Footwear,L,Yes,Yes
35,Male,Accessories,XL,Yes,Yes
29,Male,Clothing,XL,Yes,Yes
47,Male,Accessories,M,Yes,Yes
53,Male,Accessories,S,Yes,Yes
33,Male,Clothing,L,Yes,Yes
21,Male,Accessories,XL,Yes,Yes
32,Male,Clothing,M,Yes,Yes
52,Male,Footwear,L,Yes,Yes
67,Male,Accessories,M,Yes,Yes
43,Male,Accessories,M,Yes,Yes
58,Male,Accessories,XL,Yes,Yes
20,Male,Accessories,M,Yes,Yes
61,Male,Accessories,S,Yes,Yes
32,Male,Clothing,M,Yes,Yes
38,Male,Accessories,S,Yes,Yes
21,Male,Clothing,L,Yes,Yes
37,Male,Clothing,M,Yes,Yes
27,Male,Clothing,M,Yes,Yes
36,Male,Clothing,S,Yes,Yes
32,Male,Accessories,M,Yes,Yes
51,Male,Accessories,L,Yes,Yes
64,Male,Clothing,M,Yes,Yes
68,Male,Footwear,M,Yes,Yes
68,Male,Clothing,M,Yes,Yes
33,Male,Clothing,XL,Yes,Yes
65,Male,Accessories,XL,Yes,Yes
48,Male,Accessories,M,Yes,Yes
69,Male,Outerwear,S,Yes,Yes
59,Male,Accessories,M,Yes,Yes
48,Male,Accessories,XL,Yes,Yes
25,Male,Clothing,XL,Yes,Yes
29,Male,Clothing,M,Yes,Yes
57,Male,Clothing,M,Yes,Yes
23,Male,Footwear,L,Yes,Yes
45,Male,Footwear,S,Yes,Yes
38,Male,Accessories,XL,Yes,Yes
21,Male,Clothing,M,Yes,Yes
32,Male,Clothing,S,Yes,Yes
63,Male,Clothing,M,Yes,Yes
29,Male,Accessories,XL,Yes,Yes
27,Male,Accessories,L,Yes,Yes
56,Male,Accessories,L,Yes,Yes
30,Male,Clothing,M,Yes,Yes
49,Male,Outerwear,M,Yes,Yes
58,Male,Clothing,M,Yes,Yes
57,Male,Clothing,XL,Yes,Yes
60,Male,Footwear,M,Yes,Yes
69,Male,Accessories,M,Yes,Yes
70,Male,Clothing,M,Yes,Yes
53,Male,Accessories,M,Yes,Yes
25,Male,Footwear,S,Yes,Yes
48,Male,Footwear,XL,Yes,Yes
69,Male,Clothing,M,Yes,Yes
25,Male,Footwear,M,Yes,Yes
29,Male,Accessories,M,Yes,Yes
46,Male,Clothing,M,Yes,Yes
37,Male,Clothing,L,Yes,Yes
20,Male,Footwear,M,Yes,Yes
40,Male,Clothing,M,Yes,Yes
60,Male,Clothing,M,Yes,Yes
26,Male,Outerwear,S,Yes,Yes
29,Male,Accessories,M,Yes,Yes
66,Male,Accessories,M,Yes,Yes
66,Male,Clothing,M,Yes,Yes
56,Male,Clothing,M,Yes,Yes
69,Male,Clothing,L,Yes,Yes
38,Male,Clothing,L,Yes,Yes
42,Male,Clothing,M,Yes,Yes
30,Male,Clothing,M,Yes,Yes
66,Male,Accessories,XL,Yes,Yes
36,Male,Accessories,M,Yes,Yes
58,Male,Clothing,L,Yes,Yes
45,Male,Accessories,M,Yes,Yes
47,Male,Clothing,XL,Yes,Yes
66,Male,Accessories,L,Yes,Yes
41,Male,Footwear,L,Yes,Yes
41,Male,Accessories,S,Yes,Yes
66,Male,Clothing,M,Yes,Yes
37,Male,Clothing,M,Yes,Yes
70,Male,Clothing,M,Yes,Yes
62,Male,Accessories,M,Yes,Yes
61,Male,Outerwear,M,Yes,Yes
48,Male,Outerwear,M,Yes,Yes
70,Male,Clothing,S,Yes,Yes
46,Male,Clothing,M,Yes,Yes
31,Male,Clothing,L,Yes,Yes
19,Male,Clothing,M,Yes,Yes
39,Male,Clothing,M,Yes,Yes
41,Male,Clothing,M,Yes,Yes
20,Male,Clothing,L,Yes,Yes
36,Male,Accessories,S,Yes,Yes
32,Male,Clothing,M,Yes,Yes
69,Male,Clothing,M,Yes,Yes
40,Male,Clothing,M,Yes,Yes
40,Male,Clothing,L,Yes,Yes
20,Male,Accessories,S,Yes,Yes
64,Male,Outerwear,M,Yes,Yes
27,Male,Footwear,M,Yes,Yes
24,Male,Clothing,M,Yes,Yes
48,Male,Footwear,S,Yes,Yes
49,Male,Clothing,L,Yes,Yes
36,Male,Footwear,L,Yes,Yes
56,Male,Clothing,M,Yes,Yes
37,Male,Accessories,M,Yes,Yes
42,Male,Clothing,M,Yes,Yes
28,Male,Clothing,M,Yes,Yes
27,Male,Clothing,XL,Yes,Yes
63,Male,Footwear,L,Yes,Yes
58,Male,Accessories,S,Yes,Yes
37,Male,Accessories,XL,Yes,Yes
56,Male,Clothing,L,Yes,Yes
18,Male,Accessories,M,Yes,Yes
48,Male,Accessories,XL,Yes,Yes
31,Male,Footwear,M,Yes,Yes
51,Male,Clothing,M,Yes,Yes
65,Male,Clothing,M,Yes,Yes
53,Male,Footwear,M,Yes,Yes
55,Male,Clothing,L,Yes,Yes
62,Male,Footwear,L,Yes,Yes
55,Male,Accessories,XL,Yes,Yes
64,Male,Clothing,M,Yes,Yes
52,Male,Clothing,XL,Yes,Yes
24,Male,Accessories,M,Yes,Yes
38,Male,Accessories,M,Yes,Yes
59,Male,Accessories,M,Yes,Yes
27,Male,Footwear,S,Yes,Yes
24,Male,Clothing,L,Yes,Yes
23,Male,Outerwear,L,Yes,Yes
69,Male,Accessories,S,Yes,Yes
59,Male,Accessories,M,Yes,Yes
51,Male,Footwear,S,Yes,Yes
63,Male,Accessories,M,Yes,Yes
54,Male,Clothing,L,Yes,Yes
32,Male,Clothing,S,Yes,Yes
39,Male,Accessories,XL,Yes,Yes
66,Male,Accessories,L,Yes,Yes
28,Male,Clothing,M,Yes,Yes
50,Male,Accessories,S,Yes,Yes
70,Male,Clothing,M,Yes,Yes
67,Male,Clothing,S,Yes,Yes
64,Male,Accessories,L,Yes,Yes
45,Male,Outerwear,L,Yes,Yes
22,Male,Accessories,M,Yes,Yes
27,Male,Footwear,L,Yes,Yes
25,Male,Accessories,M,Yes,Yes
37,Male,Clothing,L,Yes,Yes
26,Male,Clothing,XL,Yes,Yes
33,Male,Footwear,L,Yes,Yes
43,Male,Accessories,M,Yes,Yes
37,Male,Footwear,L,Yes,Yes
46,Male,Clothing,S,Yes,Yes
22,Male,Accessories,M,Yes,Yes
20,Male,Footwear,S,Yes,Yes
60,Male,Accessories,L,Yes,Yes
39,Male,Footwear,M,Yes,Yes
43,Male,Clothing,L,Yes,Yes
31,Male,Accessories,L,Yes,Yes
19,Male,Footwear,M,Yes,Yes
35,Male,Clothing,M,Yes,Yes
41,Male,Clothing,S,Yes,Yes
52,Male,Accessories,M,Yes,Yes
45,Male,Clothing,XL,Yes,Yes
34,Male,Footwear,L,Yes,Yes
35,Male,Clothing,M,Yes,Yes
29,Male,Clothing,L,Yes,Yes
59,Male,Clothing,M,Yes,Yes
24,Male,Outerwear,M,Yes,Yes
70,Male,Accessories,S,Yes,Yes
29,Male,Accessories,L,Yes,Yes
67,Male,Outerwear,M,Yes,Yes
36,Male,Accessories,L,Yes,Yes
23,Male,Footwear,L,Yes,Yes
18,Male,Clothing,L,Yes,Yes
53,Male,Clothing,S,Yes,Yes
32,Male,Clothing,S,Yes,Yes
38,Male,Clothing,M,Yes,Yes
47,Male,Clothing,M,Yes,Yes
46,Male,Accessories,L,Yes,Yes
66,Male,Clothing,M,Yes,Yes
40,Male,Clothing,S,Yes,Yes
43,Male,Clothing,M,Yes,Yes
58,Male,Accessories,L,Yes,Yes
21,Male,Outerwear,XL,Yes,Yes
42,Male,Footwear,M,Yes,Yes
24,Male,Clothing,M,Yes,Yes
43,Male,Accessories,L,Yes,Yes
47,Male,Clothing,S,Yes,Yes
49,Male,Clothing,M,Yes,Yes
50,Male,Footwear,L,Yes,Yes
51,Male,Outerwear,XL,Yes,Yes
40,Male,Clothing,L,Yes,Yes
45,Male,Accessories,M,Yes,Yes
52,Male,Accessories,M,Yes,Yes
62,Male,Outerwear,M,Yes,Yes
20,Male,Clothing,XL,Yes,Yes
43,Male,Clothing,M,Yes,Yes
29,Male,Accessories,M,Yes,Yes
22,Male,Accessories,M,Yes,Yes
48,Male,Clothing,M,Yes,Yes
42,Male,Footwear,M,Yes,Yes
19,Male,Clothing,M,Yes,Yes
60,Male,Clothing,S,Yes,Yes
32,Male,Accessories,M,Yes,Yes
26,Male,Accessories,L,Yes,Yes
25,Male,Footwear,L,Yes,Yes
66,Male,Accessories,M,Yes,Yes
45,Male,Clothing,M,Yes,Yes
54,Male,Accessories,XL,Yes,Yes
37,Male,Outerwear,S,Yes,Yes
54,Male,Clothing,XL,Yes,Yes
50,Male,Clothing,S,Yes,Yes
25,Male,Accessories,M,Yes,Yes
47,Male,Clothing,L,Yes,Yes
63,Male,Accessories,L,Yes,Yes
64,Male,Footwear,L,Yes,Yes
18,Male,Footwear,M,Yes,Yes
59,Male,Outerwear,M,Yes,Yes
37,Male,Accessories,S,Yes,Yes
23,Male,Accessories,M,Yes,Yes
54,Male,Clothing,M,Yes,Yes
38,Male,Clothing,L,Yes,Yes
19,Male,Accessories,S,Yes,Yes
34,Male,Accessories,S,Yes,Yes
21,Male,Clothing,L,Yes,Yes
50,Male,Clothing,L,Yes,Yes
55,Male,Accessories,XL,Yes,Yes
20,Male,Clothing,L,Yes,Yes
34,Male,Outerwear,L,Yes,Yes
62,Male,Clothing,XL,Yes,Yes
21,Male,Footwear,L,Yes,Yes
21,Male,Accessories,M,Yes,Yes
42,Male,Clothing,M,Yes,Yes
35,Male,Accessories,XL,Yes,Yes
39,Male,Accessories,L,Yes,Yes
68,Male,Clothing,M,Yes,Yes
46,Male,Accessories,L,Yes,Yes
41,Male,Accessories,M,Yes,Yes
23,Male,Clothing,M,Yes,Yes
68,Male,Accessories,L,Yes,Yes
48,Male,Footwear,S,Yes,Yes
38,Male,Footwear,M,Yes,Yes
41,Male,Outerwear,L,Yes,Yes
58,Male,Clothing,L,Yes,Yes
49,Male,Clothing,M,Yes,Yes
57,Male,Footwear,M,Yes,Yes
49,Male,Outerwear,M,Yes,Yes
50,Male,Clothing,M,Yes,Yes
28,Male,Accessories,XL,Yes,Yes
38,Male,Footwear,M,Yes,Yes
33,Male,Accessories,XL,Yes,Yes
30,Male,Clothing,S,Yes,Yes
43,Male,Footwear,S,Yes,Yes
43,Male,Footwear,M,Yes,Yes
36,Male,Footwear,L,Yes,Yes
36,Male,Clothing,L,Yes,Yes
64,Male,Footwear,M,Yes,Yes
59,Male,Clothing,S,Yes,Yes
55,Male,Footwear,M,Yes,Yes
42,Male,Footwear,M,Yes,Yes
61,Male,Clothing,L,Yes,Yes
28,Male,Accessories,M,Yes,Yes
65,Male,Clothing,M,Yes,Yes
27,Male,Accessories,S,Yes,Yes
41,Male,Clothing,L,Yes,Yes
21,Male,Clothing,M,Yes,Yes
61,Male,Clothing,L,Yes,Yes
19,Male,Accessories,L,Yes,Yes
22,Male,Accessories,M,Yes,Yes
64,Male,Clothing,S,Yes,Yes
28,Male,Accessories,L,Yes,Yes
34,Male,Clothing,L,Yes,Yes
61,Male,Footwear,L,Yes,Yes
24,Male,Clothing,M,Yes,Yes
19,Male,Accessories,L,Yes,Yes
51,Male,Accessories,M,Yes,Yes
36,Male,Clothing,L,Yes,Yes
65,Male,Accessories,M,Yes,Yes
46,Male,Footwear,M,Yes,Yes
59,Male,Clothing,M,Yes,Yes
51,Male,Outerwear,M,Yes,Yes
51,Male,Clothing,S,Yes,Yes
21,Male,Clothing,L,Yes,Yes
34,Male,Footwear,S,Yes,Yes
32,Male,Clothing,M,Yes,Yes
48,Male,Outerwear,XL,Yes,Yes
50,Male,Footwear,L,Yes,Yes
26,Male,Clothing,L,Yes,Yes
57,Male,Footwear,L,Yes,Yes
65,Male,Accessories,L,Yes,Yes
56,Male,Clothing,L,Yes,Yes
44,Male,Outerwear,S,Yes,Yes
50,Male,Clothing,S,Yes,Yes
27,Male,Clothing,XL,Yes,Yes
49,Male,Outerwear,M,Yes,Yes
49,Male,Clothing,M,Yes,Yes
52,Male,Outerwear,L,Yes,Yes
27,Male,Footwear,XL,Yes,Yes
53,Male,Clothing,S,Yes,Yes
34,Male,Footwear,S,Yes,Yes
33,Male,Outerwear,L,Yes,Yes
62,Male,Clothing,M,Yes,Yes
38,Male,Outerwear,M,Yes,Yes
36,Male,Accessories,M,Yes,Yes
31,Male,Accessories,S,Yes,Yes
62,Male,Accessories,M,Yes,Yes
29,Male,Outerwear,XL,Yes,Yes
24,Male,Clothing,M,Yes,Yes
63,Male,Accessories,M,Yes,Yes
56,Male,Footwear,M,Yes,Yes
63,Male,Accessories,M,Yes,Yes
40,Male,Outerwear,L,Yes,Yes
18,Male,Clothing,M,Yes,Yes
50,Male,Footwear,L,Yes,Yes
66,Male,Accessories,M,Yes,Yes
25,Male,Accessories,L,Yes,Yes
65,Male,Outerwear,M,Yes,Yes
53,Male,Clothing,M,Yes,Yes
61,Male,Footwear,M,Yes,Yes
67,Male,Clothing,M,Yes,Yes
59,Male,Accessories,L,Yes,Yes
55,Male,Footwear,M,Yes,Yes
21,Male,Clothing,S,Yes,Yes
44,Male,Clothing,L,Yes,Yes
65,Male,Clothing,M,Yes,Yes
65,Male,Clothing,XL,Yes,Yes
54,Male,Outerwear,XL,Yes,Yes
56,Male,Accessories,XL,Yes,Yes
58,Male,Clothing,M,Yes,Yes
54,Male,Footwear,L,Yes,Yes
58,Male,Clothing,M,Yes,Yes
48,Male,Accessories,M,Yes,Yes
19,Male,Clothing,M,Yes,Yes
69,Male,Footwear,M,Yes,Yes
58,Male,Footwear,M,Yes,Yes
49,Male,Clothing,M,Yes,Yes
32,Male,Clothing,XL,Yes,Yes
40,Male,Outerwear,L,Yes,Yes
25,Male,Clothing,L,Yes,Yes
70,Male,Clothing,M,Yes,Yes
69,Male,Clothing,M,Yes,Yes
45,Male,Clothing,S,Yes,Yes
29,Male,Clothing,S,Yes,Yes
47,Male,Footwear,M,Yes,Yes
28,Male,Clothing,M,Yes,Yes
64,Male,Accessories,S,Yes,Yes
47,Male,Accessories,L,Yes,Yes
60,Male,Footwear,M,Yes,Yes
67,Male,Outerwear,S,Yes,Yes
35,Male,Clothing,S,Yes,Yes
30,Male,Footwear,M,Yes,Yes
23,Male,Footwear,XL,Yes,Yes
70,Male,Accessories,L,Yes,Yes
21,Male,Clothing,L,Yes,Yes
51,Male,Footwear,L,Yes,Yes
22,Male,Accessories,M,Yes,Yes
32,Male,Accessories,M,Yes,Yes
37,Male,Footwear,L,Yes,Yes
31,Male,Accessories,L,Yes,Yes
44,Male,Accessories,S,Yes,Yes
40,Male,Accessories,XL,Yes,Yes
27,Male,Accessories,M,Yes,Yes
47,Male,Clothing,L,Yes,Yes
41,Male,Accessories,S,Yes,Yes
51,Male,Clothing,L,Yes,Yes
53,Male,Clothing,M,Yes,Yes
43,Male,Accessories,M,Yes,Yes
67,Male,Accessories,L,Yes,Yes
61,Male,Outerwear,L,Yes,Yes
68,Male,Accessories,M,Yes,Yes
67,Male,Footwear,L,Yes,Yes
29,Male,Accessories,L,Yes,Yes
50,Male,Accessories,M,Yes,Yes
61,Male,Outerwear,L,Yes,Yes
19,Male,Accessories,M,Yes,Yes
33,Male,Accessories,M,Yes,Yes
51,Male,Accessories,S,Yes,Yes
69,Male,Clothing,S,Yes,Yes
19,Male,Footwear,M,Yes,Yes
55,Male,Clothing,XL,Yes,Yes
49,Male,Accessories,M,Yes,Yes
31,Male,Accessories,M,Yes,Yes
42,Male,Footwear,L,Yes,Yes
69,Male,Clothing,M,Yes,Yes
26,Male,Footwear,L,Yes,Yes
41,Male,Accessories,S,Yes,Yes
55,Male,Footwear,S,Yes,Yes
35,Male,Accessories,M,Yes,Yes
66,Male,Footwear,M,Yes,Yes
36,Male,Footwear,M,Yes,Yes
27,Male,Clothing,M,Yes,Yes
41,Male,Accessories,M,Yes,Yes
21,Male,Clothing,M,Yes,Yes
53,Male,Footwear,S,Yes,Yes
54,Male,Clothing,L,Yes,Yes
53,Male,Clothing,M,Yes,Yes
47,Male,Clothing,M,Yes,Yes
64,Male,Clothing,L,Yes,Yes
18,Male,Clothing,XL,Yes,Yes
68,Male,Accessories,S,Yes,Yes
62,Male,Clothing,S,Yes,Yes
51,Male,Footwear,XL,Yes,Yes
54,Male,Clothing,XL,Yes,Yes
22,Male,Clothing,M,Yes,Yes
53,Male,Clothing,L,Yes,Yes
34,Male,Accessories,M,Yes,Yes
32,Male,Accessories,L,Yes,Yes
64,Male,Accessories,M,Yes,Yes
20,Male,Accessories,M,Yes,Yes
24,Male,Accessories,L,Yes,Yes
20,Male,Accessories,S,Yes,Yes
42,Male,Clothing,M,Yes,Yes
48,Male,Outerwear,M,Yes,Yes
62,Male,Accessories,S,Yes,Yes
62,Male,Clothing,S,Yes,Yes
50,Male,Outerwear,M,Yes,Yes
57,Male,Clothing,XL,Yes,Yes
24,Male,Accessories,L,Yes,Yes
59,Male,Clothing,M,Yes,Yes
63,Male,Clothing,M,Yes,Yes
41,Male,Clothing,M,Yes,Yes
35,Male,Clothing,L,Yes,Yes
34,Male,Accessories,S,Yes,Yes
49,Male,Clothing,S,Yes,Yes
43,Male,Outerwear,M,Yes,Yes
63,Male,Clothing,XL,Yes,Yes
38,Male,Outerwear,L,Yes,Yes
59,Male,Clothing,M,Yes,Yes
35,Male,Clothing,M,Yes,Yes
48,Male,Accessories,XL,Yes,Yes
64,Male,Accessories,M,Yes,Yes
28,Male,Clothing,M,Yes,Yes
60,Male,Clothing,S,Yes,Yes
27,Male,Clothing,M,Yes,Yes
56,Male,Footwear,M,Yes,Yes
58,Male,Footwear,M,Yes,Yes
30,Male,Clothing,XL,Yes,Yes
23,Male,Outerwear,M,Yes,Yes
33,Male,Footwear,S,Yes,Yes
63,Male,Accessories,M,Yes,Yes
70,Male,Clothing,XL,Yes,Yes
70,Male,Clothing,L,Yes,Yes
19,Male,Accessories,XL,Yes,Yes
25,Male,Accessories,S,Yes,Yes
19,Male,Clothing,M,Yes,Yes
